Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P value adjusted
CHRNA3	Tissue enriched	adrenal gland: 48.0	0.226671031	0.492358157	1.52314818	0.323250334	0.746505664	NA
KCNN2	Tissue enhanced	adrenal gland: 27.3	418.3228994	-0.019443826	0.253756325	-0.076624004	0.938922663	0.993902735
CNOT4	Expressed in all		282.0826339	0.000666438	0.069332669	0.009612177	0.99233071	0.999432613
PSEN1	Expressed in all		552.0877135	-0.172443471	0.104164912	-1.65548521	0.097826114	0.73535515
CPOX	Expressed in all		851.6777781	0.122592559	0.114903046	1.06692175	0.286007173	0.857021892
CLDND1	Expressed in all		606.0359818	0.064251952	0.099737539	0.644210325	0.519439057	0.932074969
MOK	Tissue enhanced	testis: 71.8	48.02174313	0.18469428	0.183322379	1.007483539	0.313702464	0.866757376
HSP90AA1	Expressed in all		13431.44945	0.125233109	0.109947735	1.139023993	0.254693147	0.841116715
RBL1	Mixed		62.78656645	0.036859121	0.159566932	0.230994737	0.817318891	0.977674842
DLGAP4	Expressed in all		381.2530728	-0.008955949	0.1129479	-0.079292741	0.93679978	0.993541447
IGSF9B	Mixed		2.869270348	-0.438961476	0.509921098	-0.860841956	0.389325094	0.899288881
CFHR2	Tissue enriched	liver: 466.1	9717.708853	0.049446326	0.212222044	0.232993354	0.815766566	0.977674842
NDC80	Mixed		11.05648096	0.381926803	0.382681704	0.998027341	0.318266101	0.868857869
AP4E1	Mixed		149.0612659	-0.131330241	0.115704039	-1.135053214	0.256353023	0.841503173
RSBN1	Expressed in all		320.308267	-0.089491121	0.098405069	-0.909415768	0.363130702	0.892899393
MAGI3	Mixed		349.0680958	-0.030152911	0.106142546	-0.284079399	0.776349534	0.974536579
CXCL2	Tissue enhanced	liver: 110.2	1609.840348	0.463047274	0.272231563	1.700931623	0.088955828	0.725186977
AFP	Tissue enhanced	liver: 1.9	113.2954332	0.063109472	0.226699233	0.278384144	0.78071749	0.974804196
COL4A4	Mixed		135.4779465	-0.140048629	0.212266671	-0.65977682	0.50939706	0.929087644
TCF7	Tissue enhanced	lymph node: 110.1	101.0425691	-0.164947828	0.178909988	-0.921959866	0.35654951	0.889242517
OSTM1	Expressed in all		546.3192992	-0.081075636	0.125237912	-0.647372943	0.517390603	0.931566756
CDH7	Tissue enhanced	cerebral cortex: 2.8;prostate: 1.3	0.873189213	0.319235949	0.795108221	0.401499998	0.68805204	NA
IMPG2	Tissue enriched	fallopian tube: 15.7	1.069695874	0.117157754	0.627214542	0.186790557	0.851824851	0.98378362
PCNP	Expressed in all		973.5637829	0.005640597	0.137395967	0.041053585	0.967253177	0.99698293
EXD2	Expressed in all		119.4710207	-0.123343261	0.15053309	-0.819376396	0.412571698	0.906151437
ARG2	Tissue enhanced	parathyroid gland: 94.0;prostate: 161.0;thyroid gland: 157.2	25.48213933	0.352844195	0.33825491	1.043131037	0.296887608	0.861876216
MEF2C	Expressed in all		411.1856243	0.162803624	0.16854627	0.965928371	0.334080025	0.877460784
PTPRC	Expressed in all		804.3142076	0.147096361	0.225045369	0.653629807	0.513350336	0.931010131
CACNA1S	Tissue enriched	skeletal muscle: 103.0	0.19294141	0.092239415	1.457749868	0.0632752	0.949547363	NA
PKP1	Group enriched	esophagus: 281.6;skin: 821.6	2.187049498	0.553775704	0.801624999	0.69081641	0.489680922	0.922373238
UBA5	Expressed in all		625.3731506	-0.104245198	0.101975957	-1.022252706	0.306661311	0.864527682
STK17B	Tissue enhanced	bone marrow: 248.5	284.0870545	0.298683619	0.222511806	1.342327067	0.179489971	0.795201643
CDC14B	Mixed		1225.156057	-0.086039449	0.105626772	-0.814561004	0.41532364	0.907775022
ZNF510	Expressed in all		127.834417	-0.012792804	0.121249852	-0.105507794	0.915972886	0.992479728
LRP2	Group enriched	kidney: 49.8;parathyroid gland: 155.8;thyroid gland: 37.0	46.3321349	0.541662997	0.315388108	1.717449021	0.085897161	0.719092186
ZNF506	Expressed in all		129.2001379	0.322100167	0.184037065	1.750191827	0.080085219	0.714568926
JMJD4	Expressed in all		254.1963297	-0.111348549	0.156324327	-0.712291879	0.476284052	0.921238405
DUSP12	Expressed in all		85.50451261	-0.062472742	0.113949224	-0.548250707	0.583519769	0.946142172
AACS	Expressed in all		67.56240422	-0.195984236	0.266321275	-0.73589403	0.461795191	0.918766907
KIAA0141	Expressed in all		763.1078644	-0.066058074	0.061854219	-1.067963917	0.285536789	0.856909005
SLC13A1	Tissue enriched	kidney: 85.0	1.320402749	-2.339137672	1.060889947	-2.204882495	0.027462341	0.602881366
CADPS2	Mixed		196.959931	-0.163537497	0.155931496	-1.048777833	0.294280382	0.861333141
PCDHB4	Mixed		17.57943772	-0.272980498	0.298984008	-0.913027089	0.361228294	0.891870933
PCDHA6	Tissue enhanced	cerebral cortex: 4.8	2.34576574	-0.269058532	1.097206247	-0.245221473	0.806284951	0.977320647
PCDHGA2	Mixed		27.71183975	0.408011999	0.336685214	1.211850065	0.22556978	0.824006587
HSPB11	Expressed in all		225.0844779	0.261900649	0.117944335	2.220544545	0.026381825	0.600072768
PHLPP1	Expressed in all		635.1927222	-0.051297008	0.128458446	-0.39932764	0.689651804	0.967541107
ATP8B1	Expressed in all		497.7911591	0.027641754	0.211312966	0.130809549	0.895925969	0.990999771
IL12RB2	Tissue enhanced	placenta: 11.8	11.76729543	0.570780253	0.29165786	1.95701996	0.050345122	0.659575293
SMARCD3	Mixed		50.88550557	-0.013541044	0.21246676	-0.06373253	0.949183202	0.995111422
WDR70	Expressed in all		202.1932564	-0.023796738	0.093295512	-0.25506841	0.798670263	0.976936612
FYB	Tissue enhanced	appendix: 127.4;lymph node: 109.8;spleen: 114.9	536.4752794	0.081113163	0.225756751	0.359294516	0.719374777	0.969823493
MPP4	Tissue enhanced	skin: 1.0	15.84697792	-0.185409246	0.523277747	-0.354322817	0.72309697	0.969891533
STRADB	Expressed in all		641.7446619	0.01415139	0.219983987	0.064329181	0.948708119	0.994946682
BZW1	Expressed in all		4707.24839	-0.012207366	0.130565028	-0.093496444	0.925509174	0.992479728
PGR	Group enriched	"cervix, uterine: 96.2;endometrium: 172.3;fallopian tube: 53.3;smooth muscle: 114.9"	31.57899048	0.242982344	0.27120339	0.895941397	0.370284063	0.894917965
C1QTNF3	Tissue enhanced	esophagus: 38.8	40.68286989	0.288118719	0.176233515	1.634869054	0.102076501	0.740879133
ME2	Expressed in all		398.9110376	0.073295217	0.130181631	0.563022726	0.573419409	0.943125146
C5orf22	Expressed in all		187.0920983	-0.024505949	0.220635922	-0.111069625	0.911561136	0.992479728
CCNT2	Expressed in all		516.7869001	0.048444317	0.120283526	0.402751058	0.687131369	0.967541107
FAM135A	Mixed		156.4469491	-0.037666209	0.153933663	-0.244691177	0.806695561	0.977320647
COL19A1	Tissue enhanced	lymph node: 3.2;tonsil: 2.9	0.43826256	1.287462757	0.948021856	1.358051767	0.174447258	NA
EPB41L3	Expressed in all		167.8123653	-0.151453149	0.220180264	-0.687859783	0.491541084	0.923105889
COBLL1	Mixed		3388.766058	0.10384566	0.143891234	0.721695528	0.470481692	0.921238405
DLG3	Mixed		68.61971705	-0.155985278	0.206004339	-0.757194139	0.448933561	0.914824339
KCNK2	Tissue enhanced	adrenal gland: 75.2	4.656670939	0.211211331	0.641281943	0.32935799	0.741885117	0.971967975
SERTAD4	Mixed		7.846225764	-0.305071256	0.413679661	-0.73745771	0.460844052	0.918156866
TRAF5	Mixed		62.52852339	0.416670749	0.199063799	2.093151794	0.036335606	0.625150997
MRPL22	Expressed in all		327.0568612	0.143306437	0.095210902	1.505147355	0.132286197	0.772709405
GEMIN5	Expressed in all		213.4667617	-0.037963276	0.086762317	-0.437554896	0.661708974	0.963267934
OPRK1	Group enriched	cerebral cortex: 3.6;prostate: 2.8;testis: 1.3	2.418027862	-0.105523812	0.547799547	-0.192632164	0.847247054	0.982734801
NFE2L1	Expressed in all		3186.964659	-0.246900192	0.102780696	-2.402203925	0.016296621	0.553993986
SEMA5B	Tissue enhanced	cerebral cortex: 11.4	16.62493161	-0.028786189	0.285203832	-0.100931986	0.919604452	0.992479728
GSK3B	Expressed in all		688.4523149	-0.035692742	0.073833518	-0.483421931	0.62879618	0.956929699
ITGB5	Expressed in all		1363.935303	-0.210542828	0.088690892	-2.373894571	0.017601576	0.561226364
ERC1	Mixed		363.3416567	0.015760114	0.208065015	0.075746104	0.939621096	0.993957574
XPO1	Expressed in all		1776.578794	0.051188418	0.095851924	0.534036414	0.593316341	0.950060489
RNF13	Expressed in all		1169.291504	-0.124669206	0.116868597	-1.066746838	0.28608617	0.857021892
TRPM3	Tissue enhanced	kidney: 17.6	5.822979701	-0.072060344	0.331255979	-0.217536736	0.827790081	0.979573595
PALB2	Mixed		119.3056787	0.031046286	0.113356388	0.273882101	0.784175227	0.975317971
DOPEY1	Mixed		254.2571987	0.02388773	0.127454923	0.187421004	0.851330556	0.983672213
LYRM2	Expressed in all		581.0968573	-0.084166523	0.067219798	-1.252109128	0.210530102	0.817275213
BCKDHB	Expressed in all		1458.057031	0.198066847	0.207187	0.955981053	0.339081807	0.879325722
KAT6A	Expressed in all		705.7842533	-0.039694009	0.062763292	-0.632439888	0.527099477	0.933505256
ZCCHC6	Expressed in all		694.6217575	0.210498685	0.168139371	1.251929775	0.210595454	0.817275213
ULK2	Expressed in all		156.0341931	-0.077394572	0.108445836	-0.713670294	0.475431079	0.921238405
GRHL2	Mixed		10.906901	-0.798231696	0.651923973	-1.224424517	0.220792125	0.822469016
TNPO1	Expressed in all		78.62655397	-0.519249805	0.250399021	-2.073689442	0.038108162	0.626269674
PLOD1	Expressed in all		1517.018968	-0.217292628	0.106830285	-2.033998394	0.041951757	0.637282015
P2RX5	Group enriched	appendix: 40.9;lymph node: 89.8;spleen: 74.3;tonsil: 47.1	8.563407395	-0.340317929	0.307735042	-1.105879677	0.268778602	0.846639484
ITGAE	Tissue enhanced	lung: 9.5	84.29361845	0.178686477	0.140853051	1.268602109	0.204583012	0.812394701
DIS3	Expressed in all		601.6198313	-0.080528968	0.10184028	-0.790737882	0.429096965	0.909557676
PIBF1	Expressed in all		154.906379	0.089922317	0.126190476	0.712591944	0.476098298	0.921238405
TDRD3	Expressed in all		179.4760598	0.04142856	0.090009509	0.4602687	0.645323364	0.960018918
NUFIP1	Mixed		89.41566075	-0.030691078	0.103875159	-0.295461186	0.767641599	0.973724235
PDS5B	Expressed in all		491.0967013	-0.01625203	0.084681801	-0.191918809	0.847805804	0.982904331
OXCT1	Tissue enhanced	heart muscle: 162.3	18.27345505	0.360514841	0.442121923	0.815419507	0.414832222	0.907629159
RRAGB	Expressed in all		98.30855362	0.271638464	0.140654788	1.931242205	0.053453107	0.670608626
EPYC	Tissue enriched	placenta: 8.9	0.214753778	0.178328812	1.295477024	0.13765494	0.890513133	NA
CYLD	Expressed in all		435.8634878	-0.032437878	0.09554462	-0.339505015	0.73422932	0.971804386
SLC27A5	Tissue enriched	liver: 337.5	9395.294759	-0.155579279	0.202527963	-0.768186655	0.442376301	0.912796992
ZNF324	Mixed		53.14222955	-0.213371359	0.157346483	-1.356060556	0.175079901	0.79158609
ZNF671	Mixed		38.98933345	0.333976309	0.221275245	1.509325222	0.131215692	0.772033236
ZNF416	Mixed		26.77914389	0.146598524	0.199535798	0.734697862	0.462523523	0.918849266
ZNF586	Expressed in all		45.62660536	0.267031328	0.183784968	1.452955216	0.146236189	0.779613818
ZNF446	Mixed		35.48732789	-0.069579605	0.299129458	-0.232606997	0.816066593	0.977674842
ZNF264	Expressed in all		462.5956689	0.180591491	0.094805406	1.904864893	0.056797636	0.677827755
RPS5	Expressed in all		3543.14093	-0.054255541	0.146279622	-0.370902931	0.710709832	0.968519193
FAT1	Mixed		786.6200244	0.160841616	0.203166835	0.791672596	0.428551605	0.90954895
YTHDC1	Expressed in all		775.8611577	-0.091232235	0.072135021	-1.264742605	0.205963612	0.813789624
CHMP2B	Expressed in all		834.95119	-0.015758106	0.099541458	-0.158306962	0.874214922	0.989207352
SMAP2	Expressed in all		980.3079886	-0.125360989	0.070290397	-1.783472489	0.074509422	0.70282219
PPIE	Expressed in all		289.8124256	0.000673874	0.079149935	0.008513891	0.99320698	0.999432613
ZMPSTE24	Expressed in all		1004.930658	-0.065625656	0.102960402	-0.637387333	0.523872577	0.932074969
STARD7	Expressed in all		1786.357542	-0.170981984	0.066666941	-2.564719223	0.010325933	0.510239429
NOA1	Expressed in all		203.6740863	-0.138422366	0.072575927	-1.907276572	0.056484782	0.677827755
REST	Expressed in all		698.1075883	0.12184977	0.108660969	1.121375696	0.262127977	0.843856256
HAL	Group enriched	liver: 51.2;skin: 72.5	2217.40909	0.019212287	0.221538959	0.086721934	0.930892542	0.992479728
SSH1	Mixed		278.2131736	0.012437198	0.220620932	0.056373608	0.955044182	0.995220524
GSTP1	Expressed in all		59.71175199	-0.00928399	0.272305587	-0.034094011	0.972802184	0.997865817
APLP2	Expressed in all		7056.952681	-0.15839474	0.095499353	-1.658594899	0.09719745	0.73535515
FAM234B	Tissue enhanced	cerebral cortex: 32.4	105.8818605	-0.120950658	0.118636316	-1.019507876	0.307961916	0.864882318
SLCO1A2	Tissue enhanced	cerebral cortex: 28.7	84.33886898	0.2809893	0.268656178	1.045906712	0.295604105	0.861379637
WBP11	Expressed in all		560.6908562	-0.060402657	0.100423307	-0.601480461	0.547520022	0.938639016
EIF3I	Expressed in all		1091.397121	-0.145042523	0.077146355	-1.880095604	0.06009505	0.678947028
NKAIN1	Group enriched	adrenal gland: 13.9;cerebral cortex: 13.1;epididymis: 4.4;skeletal muscle: 7.4	0.010340199	0.071499476	4.131705827	0.017305074	0.986193238	NA
COL16A1	Mixed		51.59164186	-0.249093017	0.338957946	-0.734878824	0.462413296	0.918849266
TXLNA	Expressed in all		944.2806563	-0.127553046	0.089051622	-1.432349489	0.152043827	0.781836033
APOB	Group enriched	duodenum: 182.8;liver: 618.9;small intestine: 333.2	102705.4806	0.030079199	0.144880469	0.207613901	0.83553045	0.980754746
NCOA1	Expressed in all		678.3095209	-0.089118332	0.062761442	-1.419953536	0.155621208	0.783191598
AGBL5	Tissue enriched	testis: 357.5	153.4696129	-0.067388584	0.099177247	-0.67947625	0.496836151	0.925021717
EFR3B	Tissue enhanced	cerebral cortex: 33.2	3.042961416	-0.000100319	0.396275107	-0.000253155	0.999798012	0.999889305
KIF3C	Tissue enriched	cerebral cortex: 129.6	41.20630211	-0.287763504	0.190363405	-1.511653483	0.130622038	0.771813231
RAB10	Expressed in all		1531.104786	-0.000840556	0.079920829	-0.010517358	0.991608517	0.999432613
GCKR	Tissue enriched	liver: 44.3	1017.333331	-0.245375983	0.186792757	-1.313626864	0.188971804	0.80387847
HADHA	Expressed in all		4117.825827	-0.010673299	0.119971916	-0.088964978	0.929109744	0.992479728
MAPRE3	Tissue enhanced	cerebral cortex: 177.3	236.3219825	-0.473101237	0.168762409	-2.803356736	0.00505737	0.434548916
CAD	Expressed in all		214.209982	-0.166896273	0.126103775	-1.32348356	0.18567462	0.800745611
CD59	Expressed in all		2947.255883	0.110212514	0.085066039	1.295611213	0.195109464	0.805043039
CD82	Expressed in all		836.0131053	-0.406969313	0.184728708	-2.203064798	0.027590182	0.602881366
BCORL1	Expressed in all		137.1390028	0.098342042	0.152932096	0.64304384	0.520195653	0.932074969
ATRX	Expressed in all		1240.766336	0.086206089	0.105406928	0.81784082	0.413448086	0.906685305
AK6	Expressed in all		271.8707533	0.036563588	0.104563677	0.349677724	0.726580574	0.970736955
FCN1	Group enriched	appendix: 323.4;bone marrow: 634.5	46.57433239	-0.396805569	0.547252525	-0.725086777	0.468398796	0.920314997
MYNN	Expressed in all		247.2347402	0.154404593	0.113911771	1.355475306	0.175266171	0.79179628
MECOM	Mixed		37.13453078	0.581922796	0.325324514	1.788745609	0.073655794	0.70282219
SCAMP1	Expressed in all		291.7309395	0.15991704	0.198788642	0.804457634	0.421132727	0.908456614
PREP	Expressed in all		330.3630813	0.052014342	0.077561388	0.6706216	0.502461619	0.92742647
HACE1	Tissue enhanced	placenta: 44.1	112.8974835	0.11135572	0.119129529	0.9347449	0.349919781	0.884719736
SEH1L	Expressed in all		522.4952375	-0.100877469	0.084375568	-1.195576772	0.231861761	0.829284279
WDR47	Expressed in all		80.51208709	0.006101659	0.141003072	0.043273232	0.965483729	0.996686115
WDFY1	Expressed in all		600.8946219	-0.072109433	0.092459135	-0.779905988	0.435446213	0.910797267
OVGP1	Tissue enriched	fallopian tube: 3146.3	62.86616488	0.090711566	0.292774338	0.309834415	0.756686879	0.972885991
SLC25A24	Mixed		179.496106	-0.107474438	0.193457455	-0.555545599	0.57852153	0.944320855
MAP3K4	Expressed in all		255.4763485	0.04757032	0.075553599	0.629623483	0.528940956	0.934391261
PILRA	Tissue enhanced	appendix: 52.4	61.76774386	-0.076822384	0.19471353	-0.394540552	0.693181994	0.967669272
IGSF9	Tissue enhanced	skin: 28.1	436.2337842	-0.676502193	0.295448956	-2.289743047	0.022036216	0.576212177
ABCB1	Tissue enhanced	adrenal gland: 137.8;small intestine: 82.4	654.2582292	-0.08881695	0.130359318	-0.681324136	0.495666414	0.924329
ZNF213	Mixed		42.86655447	-0.239647653	0.186930477	-1.282014883	0.199837426	0.808028473
AKR1B1	Tissue enriched	adrenal gland: 2486.1	195.4448977	-0.022648756	0.161849195	-0.1399374	0.888709451	0.990384986
CPNE3	Expressed in all		147.8176201	0.113987194	0.631466388	0.180511894	0.856750718	0.984737353
RRN3	Expressed in all		781.7260403	0.147960944	0.09941641	1.488294978	0.136673119	0.774888454
CTTN	Expressed in all		1026.467645	-0.095566716	0.075051436	-1.273349608	0.202894011	0.810842678
WNT11	Tissue enhanced	adipose tissue: 29.7;adrenal gland: 17.3	109.8130659	0.717964504	0.353109662	2.033262133	0.042026047	0.637282015
MTIF2	Expressed in all		516.1200143	-0.195024902	0.100950826	-1.931880213	0.053374293	0.670608626
DDHD2	Expressed in all		278.9383526	0.094803887	0.129262434	0.7334218	0.463301207	0.918849266
TTC39A	Tissue enhanced	testis: 87.4	12.72160535	-0.651688442	0.35278757	-1.847254544	0.064710258	0.690347457
EPS15	Expressed in all		1113.624865	0.057338708	0.091675727	0.625451352	0.531674868	0.934898186
ORC1	Tissue enhanced	bone marrow: 17.9	5.309284424	0.428120731	0.414794582	1.032127104	0.302012578	0.863547469
MGST2	Expressed in all		1570.280818	0.176776569	0.099446963	1.777596459	0.075470156	0.705107224
CHERP	Expressed in all		660.2783732	-0.096161881	0.093280583	-1.030888507	0.302593107	0.863547469
ATG16L1	Mixed		182.9770868	-0.158149679	0.15275722	-1.035300841	0.300528437	0.863022259
USP40	Expressed in all		631.0666072	-0.050578139	0.07558443	-0.669160822	0.503392895	0.927793131
POMGNT1	Expressed in all		697.0009327	-0.019447681	0.079987321	-0.24313455	0.807901167	0.977320647
RAD54L	Tissue enhanced	testis: 20.0	4.672274342	0.619100701	0.383434312	1.614619981	0.106393016	0.746078394
MAST2	Expressed in all		118.814309	-0.060741805	0.160603269	-0.378210266	0.7052744	0.968006477
DNAJA1	Expressed in all		1638.084599	0.123830803	0.112053712	1.105102195	0.269115309	0.846639484
B4GALT1	Expressed in all		2412.961317	-0.147323909	0.082306273	-1.789947518	0.073462349	0.70282219
CHMP5	Expressed in all		797.4866452	0.085362821	0.080717186	1.057554473	0.290258608	0.858710264
NFX1	Expressed in all		637.1564412	-0.081547248	0.087619799	-0.930694304	0.352011717	0.887627105
AQP6	Tissue enriched	kidney: 20.8	3.681664892	-0.186794845	0.566807108	-0.329556286	0.741735258	0.971967975
DIMT1	Expressed in all		272.4442932	0.029187462	0.104799246	0.278508315	0.780622183	0.974804196
IPO11	Expressed in all		230.3159611	0.039059228	0.120860533	0.323176039	0.746561926	0.971967975
FOLH1	Group enriched	duodenum: 298.8;prostate: 136.6;small intestine: 90.8	574.4301031	0.040556073	0.184468569	0.219853569	0.825985198	0.979536711
EIF2AK1	Expressed in all		1532.176659	-0.086104794	0.094795137	-0.908325008	0.363706533	0.892899393
NME8	Group enriched	bone marrow: 8.2;testis: 18.4	1.818727918	-0.353612466	0.562125451	-0.629063255	0.529307646	0.934586811
EPDR1	Expressed in all		87.77135253	-0.13722739	0.146018849	-0.9397923	0.347324109	0.88234784
SNX10	Tissue enhanced	cerebral cortex: 94.3	1112.870998	-0.243728127	0.17909409	-1.360894301	0.173547095	0.791044716
SEPHS1	Expressed in all		239.2969524	-0.219928671	0.254781947	-0.863203509	0.388025585	0.898898232
MRPL28	Expressed in all		405.5103242	-0.059597606	0.155004598	-0.384489276	0.700615842	0.967909434
HBQ1	Group enriched	bone marrow: 14.7;cerebral cortex: 3.0	0.392386154	1.84217024	1.660475409	1.109423379	0.267247581	NA
ITPKC	Expressed in all		180.210227	-0.129832094	0.161056331	-0.80612847	0.420168777	0.907775022
CEACAM6	Group enriched	bone marrow: 110.7;colon: 180.6;esophagus: 173.5;gallbladder: 189.0;lung: 405.6;rectum: 233.8	29.32918618	-2.314754769	0.82169304	-2.817055343	0.004846617	0.434548916
FAT2	Tissue enhanced	skin: 66.5	2.168144805	-0.170085551	0.495771771	-0.343072279	0.731544085	0.971804386
RBM22	Expressed in all		308.6958019	0.028318113	0.14375034	0.196995105	0.843831368	0.981688119
TMED2	Expressed in all		6272.69285	-0.017045751	0.100214654	-0.1700924	0.86493747	0.986383553
ERO1B	Expressed in all		976.6715094	-0.074927812	0.148447556	-0.504742645	0.613739605	0.956005402
ZFAND6	Expressed in all		1385.834662	0.048883383	0.070281834	0.695533686	0.486720908	0.922373238
HSD17B2	Tissue enhanced	duodenum: 430.9;placenta: 552.6	1627.078879	-0.042569529	0.120615749	-0.352935077	0.724137113	0.969891533
TXLNG	Expressed in all		277.7691914	-0.080586065	0.122776123	-0.656365937	0.511588702	0.930299974
PPEF1	Tissue enriched	testis: 26.4	0.85770514	-0.106044653	0.759835216	-0.139562698	0.889005515	NA
LAT2	Tissue enhanced	lymph node: 70.0	99.88224751	-0.082340557	0.129148328	-0.637565798	0.523756365	0.932074969
HUWE1	Expressed in all		1346.089677	0.03540045	0.080708683	0.438620096	0.660936834	0.963267934
ZW10	Expressed in all		206.959888	-0.150181328	0.133060736	-1.128667494	0.259038127	0.842453902
ALG9	Expressed in all		253.0679724	-0.063540243	0.115736927	-0.549005789	0.583001477	0.946142172
MYBPC2	Group enriched	parathyroid gland: 934.4;skeletal muscle: 1495.9	0.607911565	0.185081215	0.954090397	0.193987085	0.846185995	NA
NOX4	Tissue enriched	kidney: 134.7	13.50983472	0.034993848	0.399415244	0.0876127	0.930184508	0.992479728
ACOX3	Expressed in all		259.7607113	-0.205848796	0.123826961	-1.662390766	0.096434449	0.73535515
MTMR2	Expressed in all		164.505091	0.138218126	0.127004097	1.088296591	0.276464195	0.85210912
PPP1R15A	Expressed in all		143.2991971	-0.617534276	0.412862983	-1.495736606	0.134722307	0.773397509
HSD17B14	Mixed		216.4549593	0.053168565	0.283983444	0.187224173	0.851484873	0.983743054
TRIP6	Expressed in all		395.8086531	0.107542849	0.124681917	0.86253766	0.388391718	0.898898232
ACHE	Tissue enhanced	skeletal muscle: 58.5	27.05081311	1.460863231	0.438109735	3.334468776	0.000854625	0.282669344
FTL	Expressed in all		77172.1451	-0.022933053	0.131928338	-0.17382962	0.861999365	0.985714283
SRRT	Expressed in all		194.3580124	0.319360682	0.235677821	1.355073127	0.17539426	0.79179628
BAX	Expressed in all		242.2978623	-0.019769783	0.156555526	-0.126279688	0.899510534	0.991509625
NLK	Expressed in all		373.5276763	-0.039017054	0.068703582	-0.567904215	0.570100009	0.943125146
PIGS	Mixed		174.7640862	-0.135902826	0.099637037	-1.363978998	0.172574176	0.79070249
ADAMTS2	Mixed		350.1961336	-0.19711043	0.164863396	-1.19559851	0.231853273	0.829284279
TMPRSS11E	Tissue enriched	esophagus: 128.2	0.194566325	0.232455232	1.424549177	0.163178103	0.870378206	NA
ATXN7L3	Expressed in all		428.6886761	-0.106538891	0.080132666	-1.329531335	0.183672735	0.797811127
PGS1	Expressed in all		56.380013	-0.014567434	0.190380543	-0.07651745	0.939007432	0.993902735
PSMC5	Expressed in all		964.2828974	-0.202458994	0.114468134	-1.76869306	0.076945111	0.709178537
UIMC1	Expressed in all		89.2280547	-0.10649585	0.154334738	-0.690031628	0.490174298	0.922470468
CETP	Group enriched	adipose tissue: 36.9;liver: 21.7;lymph node: 46.3;placenta: 50.4;spleen: 77.7	551.6465428	0.017940673	0.317601769	0.056487949	0.954953095	0.995220524
MMP2	Tissue enhanced	gallbladder: 1682.1	434.8063254	-0.076054777	0.22783349	-0.333817375	0.738517372	0.971804386
MT3	Tissue enriched	cerebral cortex: 738.6	1.291364168	0.35736558	0.712418614	0.501623024	0.61593272	0.956420338
LPCAT2	Tissue enhanced	thyroid gland: 142.6	193.6078841	0.345065457	0.218505786	1.579205123	0.114289015	0.757030807
GNAO1	Tissue enriched	cerebral cortex: 166.9	1404.747552	-0.080778615	0.206070576	-0.391994902	0.695061981	0.967669272
OGFOD1	Expressed in all		271.6178226	-0.049432452	0.132919454	-0.3718978	0.709968943	0.968483342
SH3BP2	Expressed in all		1036.025859	-0.061723729	0.098537983	-0.626395302	0.53105569	0.934898186
NOP14	Expressed in all		448.4524588	-0.29674871	0.123467338	-2.4034592	0.016240779	0.553993986
ADD1	Expressed in all		1552.592552	-0.154222504	0.065791055	-2.344125716	0.019071742	0.569164173
L2HGDH	Mixed		261.5951211	-0.265274423	0.140985236	-1.881575907	0.05989362	0.678947028
TXNDC16	Tissue enhanced	prostate: 43.0	225.5607617	0.037614915	0.137495357	0.273572257	0.784413356	0.975317971
C14orf166	Expressed in all		753.7762191	0.101306649	0.089637078	1.13018688	0.258397487	0.842453902
NID2	Tissue enhanced	placenta: 88.5	31.0892142	-0.818024562	0.332706373	-2.458698206	0.013944178	0.538508437
GMCL1	Expressed in all		491.3667864	-0.1626253	0.109041475	-1.49140774	0.135854477	0.773784116
SF3B2	Expressed in all		1095.218579	-0.218688894	0.109336281	-2.000149376	0.045484136	0.647808847
KLHL42	Mixed		282.2286242	-0.169560512	0.136897513	-1.238594541	0.215495691	0.81990429
GNAS	Expressed in all		5405.635585	-0.070088951	0.103674452	-0.676048435	0.499009894	0.925534815
DNM1L	Expressed in all		445.8978919	0.020492988	0.104210907	0.196649165	0.844102093	0.981781578
PTHLH	Tissue enhanced	breast: 23.9	2.308618252	0.412883707	0.682076368	0.605333547	0.544957395	0.938167463
PHACTR3	Tissue enriched	cerebral cortex: 64.8	10.04595725	0.369797555	0.309087043	1.196418818	0.231533162	0.828740441
ERGIC2	Expressed in all		728.9745844	0.015501809	0.077651723	0.199632512	0.841767999	0.981376234
TFAP2C	Tissue enhanced	skin: 63.0	2.123999806	-0.192747538	0.59423467	-0.32436266	0.745663486	0.971967975
AURKA	Tissue enhanced	testis: 53.5	29.30276941	0.072001633	0.225996498	0.318596233	0.750032711	0.971967975
CASS4	Tissue enhanced	appendix: 17.7;lung: 23.9	8.455980775	0.243268394	0.460394813	0.528390823	0.597228106	0.950517283
PIR	Mixed		173.5057693	-0.440970085	0.164186603	-2.685786027	0.007235941	0.474560751
AAMDC	Expressed in all		158.980779	-0.017178787	0.137106467	-0.125295234	0.900289826	0.991555741
RFX2	Tissue enhanced	testis: 93.1	26.06885473	-0.289568134	0.191410681	-1.512810744	0.130327739	0.771813231
METTL2A	Mixed		244.0784885	-0.025184688	0.084200412	-0.299104093	0.764860623	0.973670641
SULT2B1	Tissue enhanced	esophagus: 152.2;skin: 152.4	1.413508439	-0.136876892	0.651842582	-0.209984582	0.833679707	0.980553238
ALG6	Mixed		157.9048633	0.130993179	0.13188239	0.993257542	0.320584463	0.870015726
